,Gene,ProteinGroup,m_00h,m_01h,m_02h,m_03h,m_04h,m_05h,m_06h,m_08h,m_10h,m_12h,m_14h,m_16h,m_18h,m_20h,p_00h,p_01h,p_02h,p_03h,p_04h,p_05h,p_06h,p_08h,p_10h,p_12h,p_14h,p_16h,p_18h,p_20h,ms_00h,ms_01h,ms_02h,ms_03h,ms_04h,ms_05h,ms_06h,ms_08h,ms_10h,ms_12h,ms_14h,ms_16h,ms_18h,ms_20h,ps_00h,ps_01h,ps_02h,ps_03h,ps_04h,ps_05h,ps_06h,ps_08h,ps_10h,ps_12h,ps_14h,ps_16h,ps_18h,ps_20h,n
21,FBgn0003567,FBtr0310002;FBtr0082946;FBtr0082945,72.4045091024,85.5846048943,112.467582061,86.5264076656,78.3047794773,55.1337311026,60.8550202832,81.6148162131,79.1110057505,70.4047520579,51.5971970634,38.7430202332,34.6083306492,18.5671039812,,,0.06264639826,0.144294945358,0.132786711642,0.146104023306,0.162057866045,0.176249467807,0.195314065938,0.219070167181,0.254830193402,0.281207213398,0.249933778548,0.305220917974,12.5507917627,14.8354649101,19.4954322598,14.998719528,13.5735604513,9.55702879214,10.5487724005,14.147331095,13.7133138754,12.2041485142,8.94399649845,6.71581901783,5.99910083804,3.21847159237,,,0.010639523164,0.0245062678178,0.022551772067,0.0248135117658,0.0275230255462,0.0299332499145,0.0331710774523,0.0372056843329,0.043278972469,0.0477587019193,0.0424473920316,0.0518370587472,12
23,FBgn0034362,FBtr0086706,61.9657648896,57.7426399138,67.9739634005,48.9877140471,45.5352146636,41.443899789,39.8757669022,41.7523841765,57.2425791312,54.7977588095,79.583449697,94.740708771,63.135284293,59.0508411487,0.170113824801,0.159124700829,0.137419668542,0.233170046544,0.201098431672,0.191889112542,0.206914022053,0.261069268049,0.283824229069,0.252515666492,0.30943819677,0.393200262117,0.249682029837,0.392119108738,10.7413118491,10.0092640413,11.7827890901,8.491661715,7.89319621389,7.18399672254,6.91217236292,7.23747023348,9.92258216436,9.49879045393,13.795208576,16.4226085085,10.9440394786,10.2360311514,0.0288912057157,0.0270248727374,0.02333860824,0.0396003310685,0.0341534626321,0.0325894020168,0.0351411508358,0.0443385829345,0.0482031616109,0.0428858858214,0.0525532984144,0.0667789914993,0.0424046364013,0.0665953742964,14
24,FBgn0000592,FBtr0333383;FBtr0076003,0.0623972988902,0.0286347808519,0.0481284833622,0.0486767808246,0.112658054189,0.181388789691,0.44308570013,0.326744932071,0.489553305412,0.658172166041,0.438159226369,0.352097175231,0.810878273612,1.9133907918,0.112262361294,0.0869957677841,0.0591316740064,0.0627186052547,0.0469794319589,0.0575958117145,0.0482030477874,0.048210853949,0.0439350289408,0.0415678104401,,,,,0.0108161151099,0.00496362969792,0.00834272036402,0.00843776371644,0.0195284492092,0.0314424192047,0.0768056634086,0.0566388427018,0.0848604827125,0.114089328171,0.0759516952363,0.0610334685141,0.140559814343,0.331672290667,0.0190660281613,0.0147748874989,0.0100426015348,0.0106517864068,0.00797873091573,0.00978175904607,0.00818654316531,0.00818786892129,0.00746168608424,0.00705965058385,,,,,10
26,FBgn0003067,FBtr0086701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.024379032938,0.028111939408,0.0422159170057,0.0395276701099,0.0423737966238,0.0786470779689,0.131861681494,0.10696978374,0.17813855891,0.236421312844,0.117580308874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00414040220768,0.00477437871645,0.00716972147394,0.00671316425895,0.0071965348886,0.0133569914802,0.0223946699836,0.0181671656081,0.0302540828613,0.0401525084334,0.0199691994215,11
27,FBgn0033485,FBtr0088425,59.2676650593,60.7944395077,89.2965239278,121.201091527,115.966418042,128.484635609,133.699841763,165.014545513,172.894321187,151.381271185,166.288217001,110.18514897,100.888654159,62.3479489532,0.181518626876,0.190411796462,0.232717289172,0.173316302591,0.168950706725,0.170730511566,0.186887314507,0.217713846606,0.275807301121,0.271307048968,0.342155771513,0.405334940301,0.429319371771,0.393781821155,10.2736159895,10.5382711664,15.478898909,21.0093222098,20.1019298709,22.2718712719,23.1758890916,28.6040638109,29.9699652559,26.2408354807,28.824845442,19.0997891874,17.4883098479,10.8075606595,0.0308281351998,0.032338502698,0.0395234372218,0.0294350971057,0.0286936680749,0.028995940438,0.0317399238738,0.0369753342317,0.0468416102214,0.0460773118999,0.058109873158,0.0688398791674,0.0729132644104,0.0668777603197,14
28,FBgn0267698,FBtr0334544;FBtr0334539;FBtr0081716;FBtr0081715;FBtr0081714;FBtr0334543;FBtr0334542;FBtr0334541;FBtr0334540,28.736451002,33.0653118302,44.4737721315,24.4030574423,16.9794078991,15.3586594001,17.199335076,19.7706298139,21.0564095312,22.3967826021,19.3052554665,20.3181898686,20.1560524584,15.3535252504,0.0525159520631,0.102877403529,0.0596995722617,0.0858072796827,0.0861078169038,0.0971671963293,0.100098410004,0.0925849794789,0.0940779078821,0.0845153599404,0.0897845190103,0.0812074989688,0.106226246849,0.0658937614794,4.98125347437,5.7316298183,7.70920291906,4.23009141461,2.94325609603,2.66231120514,2.98137886262,3.42709398751,3.64997449155,3.88231835391,3.3464247502,3.52200951567,3.49390418222,2.66142123786,0.00891902334326,0.0174721380365,0.0101390502822,0.0145730411512,0.0146240827564,0.0165023475385,0.0170001689083,0.0157241287793,0.0159776796101,0.0143536285369,0.0152485138221,0.0137918394411,0.0180408873512,0.0111910376509,14
29,FBgn0040309,FBtr0345161;FBtr0339700;FBtr0339699;FBtr0073764;FBtr0073763,800.820224463,581.31041275,89.4980802315,13.3355343703,13.6938092582,8.27073011981,8.3937315156,3.42929253168,3.81620123157,5.10380423335,14.965308156,24.0153551769,14.3940289879,45.7412781758,3.03257668335,3.88116499385,2.56436311148,11.6218133678,10.5841793391,11.2346277531,11.9820677249,11.9832386491,12.4016489101,9.57484264612,9.766288759,9.10374079447,9.26162041253,7.16078717596,138.816325133,100.765905748,15.5138372192,2.3116172874,2.3737216172,1.43367053719,1.45499192897,0.594442763195,0.661510554742,0.884707111819,2.59412664571,4.16288606429,2.4950995828,7.92891581566,0.515036311186,0.659155929185,0.435517467615,1.97378550033,1.79755938693,1.90802800381,2.03496913872,2.03516800212,2.10622852255,1.62613913895,1.65865330431,1.54612976566,1.57294318032,1.21614910269,14
30,FBgn0027504,FBtr0333063;FBtr0088018;FBtr0088017,51.2591301996,58.3725604394,60.4557860443,43.1587004507,40.8535783747,42.3134626538,43.2440028735,48.3016862605,43.8129227698,39.2262337264,28.8257872509,25.1177656011,21.4077025954,15.3869829536,,,,0.0400137988226,0.0405295909493,0.0437398749012,0.0413707048601,0.0443585132068,0.0474848809216,0.0483864925846,0.0427133646527,0.0417042231138,0.038198475946,0.0302135532607,8.88539508175,10.1184561544,10.479568067,7.48124486752,7.08166882561,7.33472908127,7.49603141822,8.37274381886,7.59464951863,6.79958054049,4.99673925931,4.35398084335,3.7108685733,2.66722088584,,,,0.0067957257125,0.00688332503875,0.00742854218478,0.0070261752454,0.00753360834606,0.00806457361532,0.0082176984308,0.00725420527365,0.00708281816957,0.00648742115977,0.00513130536968,11
31,FBgn0013435,FBtr0088429,15.9846218487,14.765026822,16.6964552258,15.4856636251,14.90898273,15.1144770028,16.3850011199,18.8645877006,24.7609100212,21.1334445509,21.1224665196,19.7088334606,14.3026510999,8.16945263486,0.0189350158487,,,,0.0177059357071,0.0227530094799,0.022113294538,0.0222742966207,0.0217885582161,0.0244974914401,0.0259773445226,0.0256206029381,0.026728102113,0.02263513644,2.7708172145,2.5594093422,2.89420832089,2.68432645806,2.58436304532,2.6199839736,2.84022003101,3.270038218,4.29212254022,3.66332794843,3.66142498706,3.4163820419,2.47925989466,1.41611482637,0.00321581998849,,,,0.00300707970973,0.00386424723742,0.00375560153501,0.00378294525206,0.00370045008632,0.00416052055465,0.00441185074422,0.00435126369601,0.00453935532542,0.00384422832215,11
32,FBgn0033482,FBtr0088428,42.1270814502,54.4849152466,37.2562396406,33.5772174295,33.0025405117,39.9060652308,47.0804056603,50.1505776187,57.1033735359,56.9666375486,46.5736315585,52.9507873633,44.4708084037,36.4722111576,7.372724463,8.18495557591,8.11060188682,6.39461241639,6.0917333469,5.37083432452,5.41181667284,5.99064355437,5.43406423336,5.10698606295,5.89814053959,5.14660233299,5.12357415632,5.29316301675,7.30242126365,9.44456131183,6.45809648306,5.82036490757,5.72074886964,6.91742435646,8.16104376472,8.69323560475,9.89845189319,9.87474971048,8.07319818298,9.17863147073,7.70868917856,6.32219088342,1.2521433775,1.39008828703,1.37746046134,1.08602615343,1.03458682148,0.912153256893,0.919113475779,1.01741828156,0.922891880316,0.86734270483,1.00170807322,0.87407091642,0.870159936284,0.89896198491,14
